ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12024268,JD202412,04/05/2020 06:50:00 AM,018XX W 103RD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,0,0,2213,22.0,19.0,72.0,07,1165959.0,1836380.0,2020,04/12/2020 03:49:10 PM,41.706603536,-87.667875154,"(41.706603536, -87.667875154)",04
12024285,JD202462,04/05/2020 06:50:00 AM,025XX E 76TH ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,0,1,421,4.0,7.0,43.0,04B,1194324.0,1855058.0,2020,04/12/2020 03:49:10 PM,41.757209187,-87.563392885,"(41.757209187, -87.563392885)",04
12024608,JD202782,04/05/2020 06:53:00 PM,033XX W 51ST ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,0,0,821,8.0,14.0,63.0,15,1154759.0,1870609.0,2020,04/12/2020 03:49:10 PM,41.800763673,-87.707978486,"(41.800763673, -87.707978486)",04
12024464,JD202807,04/05/2020 06:59:00 PM,050XX W SUPERIOR ST,1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,STREET,1,0,1531,15.0,37.0,25.0,15,1142653.0,1904503.0,2020,04/12/2020 03:49:10 PM,41.894006661,-87.75153377,"(41.894006661, -87.75153377)",04
12028780,JD207543,04/05/2020 07:00:00 AM,064XX N SHERIDAN RD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,0,0,2432,24.0,49.0,1.0,05,1167121.0,1942715.0,2020,04/15/2020 03:48:26 PM,41.998371665,-87.660569111,"(41.998371665, -87.660569111)",04
12024260,JD202510,04/05/2020 07:00:00 AM,031XX W FILLMORE ST,0820,THEFT,$500 AND UNDER,APARTMENT,0,1,1134,11.0,24.0,29.0,06,1155384.0,1895200.0,2020,04/12/2020 03:49:10 PM,41.86823189,-87.70502673799999,"(41.86823189, -87.705026738)",04
12124517,JD319327,04/05/2020 07:00:00 AM,016XX W DIVISION ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,SMALL RETAIL STORE,0,0,1424,14.0,1.0,24.0,11,1164808.0,1908052.0,2020,08/06/2020 03:44:38 PM,41.903304304,-87.670064675,"(41.903304304, -87.670064675)",04
12024356,JD202634,04/05/2020 07:00:00 AM,011XX S STATE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,123,1.0,4.0,32.0,14,1176511.0,1895530.0,2020,04/12/2020 03:49:10 PM,41.868686912,-87.627455831,"(41.868686912, -87.627455831)",04
12025137,JD203525,04/05/2020 07:00:00 PM,055XX S ARCHER AVE,0810,THEFT,OVER $500,OTHER (SPECIFY),0,0,814,8.0,14.0,56.0,06,1143449.0,1869412.0,2020,04/12/2020 03:49:10 PM,41.797697221,-87.749486446,"(41.797697221, -87.749486446)",04
12024605,JD202823,04/05/2020 07:00:00 PM,002XX W 43RD ST,031A,ROBBERY,ARMED - HANDGUN,STREET,0,0,925,9.0,3.0,37.0,03,1175206.0,1876464.0,2020,04/12/2020 03:49:10 PM,41.816397665,-87.632817639,"(41.816397665, -87.632817639)",04
12025527,JD203214,04/05/2020 07:00:00 PM,017XX W 50TH ST,0820,THEFT,$500 AND UNDER,STREET,0,0,931,9.0,20.0,61.0,06,1165607.0,1871545.0,2020,04/12/2020 03:49:10 PM,41.803108706,-87.668168557,"(41.803108706, -87.668168557)",04
12024780,JD203113,04/05/2020 07:00:00 PM,062XX N KILDARE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,0,0,1711,17.0,39.0,12.0,26,1146580.0,1941051.0,2020,04/12/2020 03:49:10 PM,41.99422354,-87.73617587700001,"(41.99422354, -87.736175877)",04
12025012,JD203340,04/05/2020 07:00:00 PM,013XX N SEDGWICK ST,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,0,1,1821,18.0,27.0,8.0,03,1173416.0,1908947.0,2020,04/12/2020 03:49:10 PM,41.905573245,-87.638419281,"(41.905573245, -87.638419281)",04
12024509,JD202826,04/05/2020 07:01:00 PM,049XX W CHICAGO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,0,0,1531,15.0,37.0,25.0,14,1143369.0,1904863.0,2020,04/12/2020 03:49:10 PM,41.89498119,-87.74889509399999,"(41.89498119, -87.748895094)",04
12024455,JD202791,04/05/2020 07:03:00 PM,058XX S ARCHER AVE,0460,BATTERY,SIMPLE,CONVENIENCE STORE,0,0,814,8.0,14.0,56.0,08B,1140104.0,1868701.0,2020,04/12/2020 03:49:10 PM,41.795807807,-87.76177065,"(41.795807807, -87.76177065)",04
12025607,JD204002,04/05/2020 07:10:00 PM,058XX W OHIO ST,0560,ASSAULT,SIMPLE,STREET,0,0,1511,15.0,29.0,25.0,08A,1137365.0,1903387.0,2020,04/12/2020 03:49:10 PM,41.891040968,-87.77098205,"(41.891040968, -87.77098205)",04
